Year,FIPS,Female,Male,Suppressed,Unknown,Total
2008,55021,9.0,28.0,0.0,0.0,37.0
2008,55023,0.0,9.0,4.0,0.0,13.0
2008,55025,31.0,48.0,1.0,0.0,80.0
2008,55027,0.0,0.0,7.0,0.0,7.0
2008,55031,26.0,37.0,0.0,0.0,63.0
2008,55033,18.0,29.0,0.0,0.0,47.0
2008,55035,36.0,59.0,1.0,0.0,96.0
2008,55049,0.0,10.0,3.0,0.0,13.0
2008,55051,5.0,0.0,3.0,0.0,8.0
2008,55053,11.0,0.0,6.0,0.0,17.0
2008,55055,7.0,0.0,4.0,0.0,11.0
2008,55057,8.0,12.0,0.0,0.0,20.0
2008,55063,17.0,23.0,0.0,0.0,40.0
2008,55067,0.0,0.0,5.0,0.0,5.0
2008,55069,27.0,32.0,1.0,0.0,60.0
2008,55073,43.0,89.0,0.0,0.0,132.0
2008,55075,9.0,0.0,5.0,0.0,14.0
2008,55077,6.0,7.0,0.0,0.0,13.0
2008,55079,7.0,11.0,0.0,0.0,18.0
2008,55081,31.0,35.0,0.0,0.0,66.0
2008,55085,33.0,42.0,0.0,0.0,75.0
2008,55087,0.0,7.0,5.0,0.0,12.0
2008,55093,0.0,5.0,0.0,0.0,5.0
2008,55095,29.0,36.0,0.0,0.0,65.0
2008,55097,43.0,69.0,1.0,0.0,113.0
2008,55099,21.0,26.0,0.0,0.0,47.0
2008,55101,0.0,0.0,6.0,0.0,6.0
2008,55103,15.0,22.0,1.0,0.0,38.0
2008,55105,0.0,0.0,5.0,0.0,5.0
2008,55107,15.0,23.0,1.0,0.0,39.0
2008,55109,23.0,30.0,0.0,0.0,53.0
2008,55111,15.0,20.0,0.0,0.0,35.0
2008,55113,17.0,25.0,0.0,0.0,42.0
2008,55115,5.0,9.0,0.0,0.0,14.0
2008,55119,5.0,7.0,0.0,0.0,12.0
2008,55121,17.0,19.0,0.0,0.0,36.0
2008,55123,19.0,13.0,1.0,0.0,33.0
2008,55125,16.0,22.0,0.0,0.0,38.0
2008,55127,0.0,6.0,3.0,0.0,9.0
2008,55129,22.0,19.0,0.0,0.0,41.0
2008,55131,0.0,0.0,7.0,0.0,7.0
2008,55133,12.0,15.0,0.0,0.0,27.0
2008,55135,16.0,23.0,0.0,0.0,39.0
2008,55137,11.0,11.0,0.0,0.0,22.0
2008,55139,0.0,0.0,8.0,0.0,8.0
2008,55141,33.0,44.0,1.0,0.0,78.0
2009,06037,0.0,0.0,7.0,0.0,7.0
2009,06045,0.0,0.0,7.0,0.0,7.0
2009,06065,0.0,0.0,5.0,0.0,5.0
2009,06073,0.0,5.0,5.0,0.0,10.0
2009,06081,7.0,0.0,4.0,0.0,11.0
2009,06083,7.0,0.0,2.0,0.0,9.0
2009,06087,0.0,0.0,5.0,0.0,5.0
2009,06097,0.0,7.0,3.0,0.0,10.0
2009,09001,292.0,405.0,1.0,0.0,698.0
2009,09003,130.0,182.0,0.0,0.0,312.0
2009,09005,90.0,123.0,0.0,0.0,213.0
2009,09007,79.0,117.0,0.0,0.0,196.0
2009,09009,212.0,248.0,0.0,0.0,460.0
2009,09011,231.0,348.0,0.0,0.0,579.0
2009,09013,135.0,160.0,2.0,0.0,297.0
2009,09015,103.0,172.0,0.0,0.0,275.0
2009,10001,23.0,20.0,0.0,138.0,181.0
2009,10003,50.0,52.0,0.0,520.0,622.0
2009,10005,27.0,34.0,0.0,99.0,160.0
2009,11001,22.0,39.0,0.0,0.0,61.0
2009,12057,7.0,0.0,4.0,0.0,11.0
2009,12071,8.0,0.0,3.0,0.0,11.0
2009,12086,0.0,0.0,8.0,0.0,8.0
2009,12095,0.0,0.0,6.0,0.0,6.0
2009,12099,0.0,0.0,8.0,0.0,8.0
2009,12101,0.0,0.0,5.0,0.0,5.0
2009,12103,0.0,0.0,6.0,0.0,6.0
2009,12115,0.0,0.0,8.0,0.0,8.0
2009,13151,0.0,0.0,6.0,0.0,6.0
2009,16001,0.0,5.0,2.0,0.0,7.0
2009,17031,9.0,20.0,0.0,0.0,29.0
2009,17043,8.0,10.0,0.0,0.0,18.0
2009,17089,0.0,8.0,0.0,0.0,8.0
2009,17097,5.0,0.0,0.0,0.0,5.0
2009,17111,0.0,0.0,6.0,0.0,6.0
2009,17201,6.0,8.0,0.0,0.0,14.0
2009,18127,0.0,6.0,4.0,0.0,10.0
2009,18141,0.0,8.0,2.0,0.0,10.0
2009,19043,0.0,6.0,0.0,0.0,6.0
2009,19061,0.0,0.0,8.0,0.0,8.0
2009,19103,9.0,16.0,0.0,0.0,25.0
2009,19113,0.0,5.0,0.0,0.0,5.0
2009,19153,0.0,5.0,0.0,0.0,5.0
2009,19163,0.0,0.0,6.0,0.0,6.0
2009,20091,0.0,0.0,6.0,0.0,6.0
2009,23001,19.0,37.0,0.0,0.0,56.0
2009,23003,0.0,0.0,7.0,0.0,7.0
2009,23005,105.0,171.0,0.0,0.0,276.0
2009,23007,10.0,0.0,5.0,0.0,15.0
2009,23009,22.0,12.0,0.0,0.0,34.0
2009,23011,50.0,49.0,0.0,0.0,99.0
2009,23013,32.0,37.0,0.0,0.0,69.0
2009,23015,22.0,23.0,0.0,0.0,45.0
2009,23017,0.0,11.0,4.0,0.0,15.0
2009,23019,0.0,0.0,8.0,0.0,8.0
2009,23023,25.0,26.0,0.0,0.0,51.0
2009,23025,0.0,0.0,6.0,0.0,6.0
2009,23027,12.0,7.0,0.0,0.0,19.0
2009,23031,124.0,140.0,0.0,0.0,264.0
2009,24001,7.0,0.0,2.0,0.0,9.0
2009,24003,92.0,100.0,1.0,0.0,193.0
2009,24005,22.0,43.0,0.0,345.0,410.0
2009,24009,16.0,22.0,2.0,0.0,40.0
2009,24011,11.0,22.0,0.0,0.0,33.0
2009,24013,44.0,55.0,2.0,0.0,101.0
2009,24015,69.0,71.0,0.0,0.0,140.0
2009,24017,53.0,30.0,0.0,0.0,83.0
2009,24019,0.0,0.0,6.0,0.0,6.0
2009,24021,43.0,62.0,0.0,0.0,105.0
2009,24025,43.0,61.0,1.0,0.0,105.0
2009,24027,110.0,156.0,2.0,0.0,268.0
2009,24029,21.0,13.0,0.0,0.0,34.0
2009,24031,32.0,49.0,0.0,0.0,81.0
2009,24033,14.0,19.0,0.0,0.0,33.0
2009,24035,49.0,29.0,0.0,0.0,78.0
2009,24037,41.0,27.0,1.0,0.0,69.0
2009,24039,6.0,0.0,0.0,0.0,6.0
2009,24041,26.0,23.0,1.0,0.0,50.0
2009,24043,39.0,47.0,1.0,0.0,87.0
2009,24045,19.0,11.0,0.0,0.0,30.0
2009,24047,12.0,7.0,0.0,0.0,19.0
2009,24510,12.0,23.0,1.0,0.0,36.0
2009,25001,98.0,135.0,0.0,13.0,246.0
2009,25003,77.0,95.0,0.0,0.0,172.0
2009,25005,120.0,193.0,1.0,0.0,314.0
2009,25007,13.0,28.0,4.0,0.0,45.0
2009,25009,155.0,233.0,0.0,6.0,394.0
2009,25011,29.0,39.0,1.0,0.0,69.0
2009,25013,101.0,149.0,0.0,0.0,250.0
2009,25015,71.0,75.0,1.0,0.0,147.0
2009,25017,320.0,491.0,0.0,6.0,817.0
2009,25019,21.0,22.0,3.0,0.0,46.0
2009,25021,187.0,355.0,0.0,7.0,549.0
2009,25023,173.0,280.0,0.0,8.0,461.0
2009,25025,26.0,62.0,0.0,0.0,88.0
2009,25027,237.0,316.0,2.0,0.0,555.0
2009,26005,0.0,0.0,5.0,0.0,5.0
2009,26021,0.0,6.0,3.0,0.0,9.0
2009,26109,9.0,21.0,0.0,0.0,30.0
2009,26139,0.0,0.0,6.0,0.0,6.0
2009,26161,0.0,5.0,0.0,0.0,5.0
2009,27001,6.0,16.0,0.0,0.0,22.0
2009,27003,33.0,83.0,0.0,0.0,116.0
2009,27005,11.0,16.0,0.0,0.0,27.0
2009,27007,15.0,18.0,0.0,0.0,33.0
2009,27009,9.0,6.0,0.0,0.0,15.0
2009,27013,0.0,5.0,0.0,0.0,5.0
2009,27017,17.0,24.0,0.0,0.0,41.0
2009,27019,0.0,10.0,6.0,0.0,16.0
2009,27021,27.0,36.0,0.0,0.0,63.0
2009,27025,12.0,15.0,0.0,0.0,27.0
2009,27035,49.0,45.0,0.0,0.0,94.0
2009,27037,31.0,45.0,0.0,0.0,76.0
2009,27045,5.0,0.0,0.0,0.0,5.0
2009,27049,0.0,7.0,5.0,0.0,12.0
2009,27053,69.0,126.0,0.0,0.0,195.0
2009,27055,17.0,9.0,0.0,0.0,26.0
2009,27057,10.0,21.0,0.0,0.0,31.0
2009,27059,9.0,16.0,0.0,0.0,25.0
2009,27061,24.0,24.0,0.0,0.0,48.0
2009,27065,6.0,6.0,0.0,0.0,12.0
2009,27067,0.0,0.0,7.0,0.0,7.0
2009,27085,0.0,0.0,5.0,0.0,5.0
2009,27095,0.0,11.0,5.0,0.0,16.0
2009,27097,6.0,17.0,0.0,0.0,23.0
2009,27099,0.0,5.0,0.0,0.0,5.0
2009,27109,9.0,9.0,0.0,0.0,18.0
2009,27111,6.0,8.0,0.0,0.0,14.0
2009,27115,15.0,39.0,0.0,0.0,54.0
2009,27119,0.0,0.0,5.0,0.0,5.0
2009,27123,40.0,71.0,0.0,0.0,111.0
2009,27137,22.0,44.0,0.0,0.0,66.0
2009,27139,0.0,16.0,4.0,0.0,20.0
2009,27141,17.0,30.0,0.0,0.0,47.0
2009,27145,12.0,13.0,0.0,0.0,25.0
2009,27153,0.0,0.0,7.0,0.0,7.0
2009,27157,0.0,0.0,5.0,0.0,5.0
2009,27163,34.0,61.0,0.0,0.0,95.0
2009,27169,11.0,16.0,0.0,0.0,27.0
2009,27171,11.0,22.0,0.0,0.0,33.0
2009,33001,10.0,10.0,0.0,0.0,20.0
2009,33003,8.0,10.0,0.0,0.0,18.0
2009,33005,19.0,15.0,0.0,0.0,34.0
2009,33009,10.0,9.0,0.0,0.0,19.0
2009,33011,210.0,228.0,0.0,0.0,438.0
2009,33013,37.0,52.0,0.0,0.0,89.0
2009,33015,297.0,283.0,2.0,0.0,582.0
2009,33017,83.0,108.0,0.0,0.0,191.0
2009,33019,10.0,11.0,0.0,0.0,21.0
2009,34001,75.0,62.0,0.0,0.0,137.0
2009,34003,132.0,149.0,0.0,0.0,281.0
2009,34005,201.0,204.0,1.0,0.0,406.0
2009,34009,21.0,19.0,0.0,0.0,40.0
2009,34011,115.0,80.0,0.0,0.0,195.0
2009,34013,95.0,114.0,0.0,0.0,209.0
2009,34015,70.0,79.0,0.0,0.0,149.0
2009,34017,37.0,22.0,0.0,0.0,59.0
2009,34019,215.0,229.0,0.0,0.0,444.0
2009,34021,120.0,133.0,0.0,0.0,253.0
2009,34023,95.0,87.0,0.0,0.0,182.0
2009,34025,186.0,223.0,0.0,0.0,409.0
2009,34027,279.0,361.0,0.0,0.0,640.0
2009,34029,80.0,109.0,0.0,0.0,189.0
2009,34031,131.0,121.0,1.0,0.0,253.0
2009,34033,21.0,24.0,0.0,0.0,45.0
2009,34035,113.0,143.0,0.0,0.0,256.0
2009,34037,205.0,229.0,0.0,0.0,434.0
2009,34039,39.0,49.0,0.0,0.0,88.0
