Year,FIPS,Confirmed,Probable,Total
2008,42011,165.0,0.0,165.0
2008,42015,7.0,0.0,7.0
2008,42017,492.0,0.0,492.0
2008,42019,113.0,0.0,113.0
2008,42023,18.0,0.0,18.0
2008,42025,17.0,0.0,17.0
2008,42027,45.0,0.0,45.0
2008,42029,698.0,0.0,698.0
2008,42033,94.0,0.0,94.0
2008,42035,18.0,0.0,18.0
2008,42037,18.0,0.0,18.0
2008,42041,56.0,0.0,56.0
2008,42043,92.0,0.0,92.0
2008,42045,19.0,0.0,19.0
2008,42047,80.0,0.0,80.0
2008,42049,9.0,0.0,9.0
2008,42055,38.0,0.0,38.0
2008,42057,7.0,0.0,7.0
2008,42061,8.0,0.0,8.0
2008,42063,8.0,0.0,8.0
2008,42065,50.0,0.0,50.0
2008,42067,6.0,0.0,6.0
2008,42069,12.0,0.0,12.0
2008,42071,66.0,0.0,66.0
2008,42075,63.0,0.0,63.0
2008,42077,141.0,0.0,141.0
2008,42079,16.0,0.0,16.0
2008,42081,28.0,0.0,28.0
2008,42083,18.0,0.0,18.0
2008,42087,8.0,0.0,8.0
2008,42089,112.0,0.0,112.0
2008,42091,513.0,0.0,513.0
2008,42093,11.0,0.0,11.0
2008,42095,102.0,0.0,102.0
2008,42097,12.0,0.0,12.0
2008,42099,35.0,0.0,35.0
2008,42101,157.0,0.0,157.0
2008,42103,44.0,0.0,44.0
2008,42105,5.0,0.0,5.0
2008,42107,28.0,0.0,28.0
2008,42109,5.0,0.0,5.0
2008,42115,6.0,0.0,6.0
2008,42119,6.0,0.0,6.0
2008,42127,29.0,0.0,29.0
2008,42131,9.0,0.0,9.0
2008,42133,176.0,0.0,176.0
2008,44003,15.0,0.0,15.0
2008,44005,11.0,4.0,15.0
2008,44007,22.0,5.0,27.0
2008,44009,103.0,7.0,110.0
2008,48085,6.0,3.0,9.0
2008,48121,16.0,2.0,18.0
2008,48157,2.0,4.0,6.0
2008,48201,10.0,2.0,12.0
2008,48215,4.0,3.0,7.0
2008,48339,6.0,2.0,8.0
2008,48355,1.0,4.0,5.0
2008,48367,5.0,0.0,5.0
2008,48439,13.0,6.0,19.0
2008,48453,5.0,3.0,8.0
2008,50001,19.0,8.0,27.0
2008,50003,96.0,28.0,124.0
2008,50005,4.0,1.0,5.0
2008,50007,36.0,4.0,40.0
2008,50017,9.0,1.0,10.0
2008,50021,51.0,10.0,61.0
2008,50023,5.0,0.0,5.0
2008,50025,59.0,16.0,75.0
2008,50027,35.0,4.0,39.0
2008,51001,17.0,0.0,17.0
2008,51003,15.0,1.0,16.0
2008,51013,29.0,4.0,33.0
2008,51015,9.0,0.0,9.0
2008,51041,8.0,8.0,16.0
2008,51043,14.0,0.0,14.0
2008,51047,5.0,1.0,6.0
2008,51059,188.0,2.0,190.0
2008,51061,32.0,6.0,38.0
2008,51069,48.0,2.0,50.0
2008,51099,6.0,0.0,6.0
2008,51103,4.0,1.0,5.0
2008,51107,225.0,5.0,230.0
2008,51121,22.0,1.0,23.0
2008,51131,8.0,0.0,8.0
2008,51137,5.0,0.0,5.0
2008,51153,58.0,10.0,68.0
2008,51165,7.0,0.0,7.0
2008,51171,16.0,0.0,16.0
2008,51177,10.0,0.0,10.0
2008,51179,5.0,0.0,5.0
2008,51187,48.0,0.0,48.0
2008,51510,5.0,2.0,7.0
2008,51540,5.0,0.0,5.0
2008,51550,7.0,0.0,7.0
2008,51700,5.0,0.0,5.0
2008,54003,66.0,5.0,71.0
2008,54037,29.0,4.0,33.0
2008,54065,14.0,0.0,14.0
2008,55001,24.0,2.0,26.0
2008,55003,15.0,7.0,22.0
2008,55005,63.0,13.0,76.0
2008,55007,8.0,13.0,21.0
2008,55011,10.0,2.0,12.0
2008,55013,34.0,18.0,52.0
2008,55015,4.0,2.0,6.0
2008,55017,26.0,18.0,44.0
2008,55019,32.0,10.0,42.0
2008,55021,29.0,8.0,37.0
2008,55023,11.0,2.0,13.0
2008,55025,63.0,17.0,80.0
2008,55027,5.0,2.0,7.0
2008,55031,34.0,29.0,63.0
2008,55033,42.0,5.0,47.0
2008,55035,76.0,20.0,96.0
2008,55049,13.0,0.0,13.0
2008,55051,5.0,3.0,8.0
2008,55053,12.0,5.0,17.0
2008,55055,10.0,1.0,11.0
2008,55057,16.0,4.0,20.0
2008,55063,27.0,13.0,40.0
2008,55067,5.0,0.0,5.0
2008,55069,51.0,9.0,60.0
2008,55073,99.0,33.0,132.0
2008,55075,10.0,4.0,14.0
2008,55077,11.0,2.0,13.0
2008,55079,13.0,5.0,18.0
2008,55081,50.0,16.0,66.0
2008,55085,56.0,19.0,75.0
2008,55087,11.0,1.0,12.0
2008,55093,5.0,0.0,5.0
2008,55095,44.0,21.0,65.0
2008,55097,85.0,28.0,113.0
2008,55099,29.0,18.0,47.0
2008,55101,5.0,1.0,6.0
2008,55103,25.0,13.0,38.0
2008,55105,4.0,1.0,5.0
2008,55107,26.0,13.0,39.0
2008,55109,37.0,16.0,53.0
2008,55111,23.0,12.0,35.0
2008,55113,20.0,22.0,42.0
2008,55115,12.0,2.0,14.0
2008,55119,11.0,1.0,12.0
2008,55121,29.0,7.0,36.0
2008,55123,27.0,6.0,33.0
2008,55125,31.0,7.0,38.0
2008,55127,7.0,2.0,9.0
2008,55129,27.0,14.0,41.0
2008,55131,6.0,1.0,7.0
2008,55133,25.0,2.0,27.0
2008,55135,23.0,16.0,39.0
2008,55137,18.0,4.0,22.0
2008,55139,5.0,3.0,8.0
2008,55141,46.0,32.0,78.0
2009,06037,7.0,0.0,7.0
2009,06045,7.0,0.0,7.0
2009,06065,5.0,0.0,5.0
2009,06073,10.0,0.0,10.0
2009,06081,11.0,0.0,11.0
2009,06083,9.0,0.0,9.0
2009,06087,5.0,0.0,5.0
2009,06097,10.0,0.0,10.0
2009,09001,463.0,235.0,698.0
2009,09003,240.0,72.0,312.0
2009,09005,154.0,59.0,213.0
2009,09007,141.0,55.0,196.0
2009,09009,341.0,119.0,460.0
2009,09011,367.0,212.0,579.0
2009,09013,231.0,66.0,297.0
2009,09015,195.0,80.0,275.0
2009,10001,181.0,0.0,181.0
2009,10003,622.0,0.0,622.0
2009,10005,160.0,0.0,160.0
2009,11001,53.0,8.0,61.0
2009,12057,7.0,4.0,11.0
2009,12071,10.0,1.0,11.0
2009,12086,6.0,2.0,8.0
2009,12095,5.0,1.0,6.0
2009,12099,7.0,1.0,8.0
2009,12101,4.0,1.0,5.0
2009,12103,3.0,3.0,6.0
2009,12115,6.0,2.0,8.0
2009,13151,6.0,0.0,6.0
2009,16001,1.0,6.0,7.0
2009,17031,29.0,0.0,29.0
2009,17043,18.0,0.0,18.0
2009,17089,8.0,0.0,8.0
2009,17097,5.0,0.0,5.0
2009,17111,6.0,0.0,6.0
2009,17201,14.0,0.0,14.0
2009,18127,8.0,2.0,10.0
2009,18141,7.0,3.0,10.0
2009,19043,2.0,4.0,6.0
2009,19061,6.0,2.0,8.0
2009,19103,20.0,5.0,25.0
2009,19113,4.0,1.0,5.0
2009,19153,4.0,1.0,5.0
2009,19163,4.0,2.0,6.0
2009,20091,6.0,0.0,6.0
2009,23001,46.0,10.0,56.0
2009,23003,7.0,0.0,7.0
2009,23005,232.0,44.0,276.0
2009,23007,13.0,2.0,15.0
2009,23009,25.0,9.0,34.0
2009,23011,82.0,17.0,99.0
2009,23013,56.0,13.0,69.0
2009,23015,37.0,8.0,45.0
2009,23017,12.0,3.0,15.0
2009,23019,8.0,0.0,8.0
2009,23023,42.0,9.0,51.0
2009,23025,4.0,2.0,6.0
2009,23027,14.0,5.0,19.0
2009,23031,208.0,56.0,264.0
2009,24001,8.0,1.0,9.0
2009,24003,120.0,73.0,193.0
2009,24005,303.0,107.0,410.0
2009,24009,25.0,15.0,40.0
2009,24011,25.0,8.0,33.0
2009,24013,76.0,25.0,101.0
2009,24015,76.0,64.0,140.0
2009,24017,65.0,18.0,83.0
2009,24019,5.0,1.0,6.0
2009,24021,76.0,29.0,105.0
2009,24025,75.0,30.0,105.0
2009,24027,203.0,65.0,268.0
2009,24029,21.0,13.0,34.0
2009,24031,71.0,10.0,81.0
2009,24033,28.0,5.0,33.0
2009,24035,55.0,23.0,78.0
2009,24037,55.0,14.0,69.0
2009,24039,5.0,1.0,6.0
2009,24041,29.0,21.0,50.0
2009,24043,65.0,22.0,87.0
2009,24045,26.0,4.0,30.0
2009,24047,13.0,6.0,19.0
2009,24510,33.0,3.0,36.0
2009,25001,184.0,62.0,246.0
2009,25003,105.0,67.0,172.0
2009,25005,233.0,81.0,314.0
2009,25007,28.0,17.0,45.0
2009,25009,299.0,95.0,394.0
2009,25011,53.0,16.0,69.0
2009,25013,193.0,57.0,250.0
2009,25015,116.0,31.0,147.0
2009,25017,631.0,186.0,817.0
2009,25019,43.0,3.0,46.0
2009,25021,455.0,94.0,549.0
2009,25023,375.0,86.0,461.0
2009,25025,63.0,25.0,88.0
2009,25027,420.0,135.0,555.0
2009,26005,4.0,1.0,5.0
2009,26021,8.0,1.0,9.0
2009,26109,22.0,8.0,30.0
2009,26139,6.0,0.0,6.0
2009,26161,5.0,0.0,5.0
2009,27001,18.0,4.0,22.0
2009,27003,85.0,31.0,116.0
2009,27005,24.0,3.0,27.0
2009,27007,21.0,12.0,33.0
2009,27009,11.0,4.0,15.0
2009,27013,4.0,1.0,5.0
2009,27017,30.0,11.0,41.0
2009,27019,11.0,5.0,16.0
2009,27021,35.0,28.0,63.0
2009,27025,16.0,11.0,27.0
2009,27035,52.0,42.0,94.0
2009,27037,57.0,19.0,76.0
2009,27045,2.0,3.0,5.0
2009,27049,10.0,2.0,12.0
2009,27053,127.0,68.0,195.0
2009,27055,18.0,8.0,26.0
2009,27057,17.0,14.0,31.0
2009,27059,18.0,7.0,25.0
2009,27061,31.0,17.0,48.0
2009,27065,7.0,5.0,12.0
2009,27067,5.0,2.0,7.0
2009,27085,3.0,2.0,5.0
2009,27095,9.0,7.0,16.0
2009,27097,16.0,7.0,23.0
2009,27099,2.0,3.0,5.0
2009,27109,16.0,2.0,18.0
2009,27111,9.0,5.0,14.0
2009,27115,36.0,18.0,54.0
2009,27119,4.0,1.0,5.0
2009,27123,73.0,38.0,111.0
2009,27137,45.0,21.0,66.0
2009,27139,16.0,4.0,20.0
2009,27141,35.0,12.0,47.0
2009,27145,19.0,6.0,25.0
2009,27153,6.0,1.0,7.0
2009,27157,4.0,1.0,5.0
2009,27163,72.0,23.0,95.0
2009,27169,24.0,3.0,27.0
2009,27171,26.0,7.0,33.0
2009,33001,14.0,6.0,20.0
2009,33003,14.0,4.0,18.0
2009,33005,26.0,8.0,34.0
2009,33009,12.0,7.0,19.0
2009,33011,306.0,132.0,438.0
2009,33013,66.0,23.0,89.0
2009,33015,407.0,175.0,582.0
2009,33017,132.0,59.0,191.0
2009,33019,17.0,4.0,21.0
2009,34001,100.0,37.0,137.0
2009,34003,264.0,17.0,281.0
2009,34005,344.0,62.0,406.0
2009,34009,35.0,5.0,40.0
2009,34011,175.0,20.0,195.0
2009,34013,193.0,16.0,209.0
2009,34015,147.0,2.0,149.0
2009,34017,57.0,2.0,59.0
2009,34019,444.0,0.0,444.0
2009,34021,237.0,16.0,253.0
2009,34023,178.0,4.0,182.0
2009,34025,404.0,5.0,409.0
2009,34027,600.0,40.0,640.0
2009,34029,164.0,25.0,189.0
2009,34031,243.0,10.0,253.0
