Year,FIPS,0-19,20+,Suppressed,Unknown,Total
2008,34001,29.0,92.0,2.0,0.0,123.0
2008,34003,46.0,113.0,0.0,15.0,174.0
2008,34005,64.0,191.0,0.0,23.0,278.0
2008,34009,6.0,27.0,3.0,0.0,36.0
2008,34011,26.0,69.0,3.0,0.0,98.0
2008,34013,33.0,78.0,0.0,11.0,122.0
2008,34015,20.0,53.0,0.0,27.0,100.0
2008,34017,0.0,11.0,6.0,0.0,17.0
2008,34019,107.0,262.0,4.0,6.0,379.0
2008,34021,54.0,175.0,5.0,0.0,234.0
2008,34023,10.0,30.0,2.0,12.0,54.0
2008,34025,68.0,167.0,0.0,24.0,259.0
2008,34027,109.0,271.0,0.0,24.0,404.0
2008,34029,30.0,115.0,4.0,0.0,149.0
2008,34031,29.0,117.0,0.0,10.0,156.0
2008,34033,6.0,33.0,5.0,0.0,44.0
2008,34035,43.0,96.0,0.0,14.0,153.0
2008,34037,110.0,239.0,4.0,0.0,353.0
2008,34039,24.0,38.0,5.0,0.0,67.0
2008,34041,61.0,194.0,2.0,0.0,257.0
2008,36001,151.0,487.0,0.0,0.0,638.0
2008,36005,11.0,62.0,0.0,0.0,73.0
2008,36007,0.0,14.0,5.0,0.0,19.0
2008,36013,0.0,0.0,5.0,0.0,5.0
2008,36019,0.0,0.0,7.0,0.0,7.0
2008,36021,116.0,462.0,6.0,0.0,584.0
2008,36025,0.0,8.0,1.0,0.0,9.0
2008,36027,322.0,816.0,3.0,0.0,1141.0
2008,36029,0.0,0.0,8.0,0.0,8.0
2008,36031,8.0,14.0,2.0,0.0,24.0
2008,36033,0.0,0.0,5.0,0.0,5.0
2008,36035,0.0,5.0,0.0,0.0,5.0
2008,36039,84.0,226.0,3.0,0.0,313.0
2008,36043,0.0,5.0,6.0,0.0,11.0
2008,36045,8.0,25.0,4.0,0.0,37.0
2008,36047,44.0,130.0,4.0,0.0,178.0
2008,36053,0.0,0.0,7.0,0.0,7.0
2008,36055,0.0,0.0,8.0,0.0,8.0
2008,36057,5.0,17.0,3.0,0.0,25.0
2008,36059,11.0,28.0,1.0,0.0,40.0
2008,36061,52.0,344.0,7.0,0.0,403.0
2008,36065,12.0,14.0,0.0,0.0,26.0
2008,36067,22.0,45.0,0.0,0.0,67.0
2008,36071,114.0,269.0,0.0,13.0,396.0
2008,36075,0.0,0.0,6.0,0.0,6.0
2008,36077,0.0,10.0,4.0,0.0,14.0
2008,36079,83.0,117.0,2.0,0.0,202.0
2008,36081,18.0,84.0,1.0,0.0,103.0
2008,36083,141.0,401.0,0.0,0.0,542.0
2008,36085,6.0,40.0,4.0,0.0,50.0
2008,36087,119.0,231.0,3.0,0.0,353.0
2008,36089,0.0,21.0,4.0,0.0,25.0
2008,36091,107.0,257.0,0.0,0.0,364.0
2008,36093,20.0,73.0,0.0,0.0,93.0
2008,36095,0.0,15.0,8.0,0.0,23.0
2008,36101,0.0,0.0,5.0,0.0,5.0
2008,36103,99.0,440.0,3.0,0.0,542.0
2008,36105,31.0,83.0,4.0,0.0,118.0
2008,36109,12.0,30.0,0.0,0.0,42.0
2008,36111,176.0,602.0,0.0,0.0,778.0
2008,36113,6.0,14.0,0.0,0.0,20.0
2008,36115,39.0,144.0,0.0,0.0,183.0
2008,36119,79.0,179.0,6.0,0.0,264.0
2008,38017,0.0,0.0,5.0,0.0,5.0
2008,39035,0.0,0.0,6.0,0.0,6.0
2008,39061,0.0,0.0,5.0,0.0,5.0
2008,41029,0.0,0.0,6.0,0.0,6.0
2008,41051,0.0,5.0,0.0,0.0,5.0
2008,42001,22.0,62.0,0.0,0.0,84.0
2008,42003,0.0,9.0,5.0,0.0,14.0
2008,42005,7.0,6.0,7.0,0.0,20.0
2008,42011,27.0,138.0,0.0,0.0,165.0
2008,42015,0.0,6.0,1.0,0.0,7.0
2008,42017,133.0,359.0,0.0,0.0,492.0
2008,42019,38.0,75.0,0.0,0.0,113.0
2008,42023,0.0,17.0,1.0,0.0,18.0
2008,42025,0.0,7.0,10.0,0.0,17.0
2008,42027,16.0,29.0,0.0,0.0,45.0
2008,42029,255.0,441.0,2.0,0.0,698.0
2008,42033,31.0,63.0,0.0,0.0,94.0
2008,42035,6.0,10.0,2.0,0.0,18.0
2008,42037,0.0,12.0,6.0,0.0,18.0
2008,42041,8.0,44.0,4.0,0.0,56.0
2008,42043,26.0,66.0,0.0,0.0,92.0
2008,42045,0.0,14.0,5.0,0.0,19.0
2008,42047,20.0,60.0,0.0,0.0,80.0
2008,42049,5.0,0.0,4.0,0.0,9.0
2008,42055,5.0,30.0,3.0,0.0,38.0
2008,42057,0.0,0.0,7.0,0.0,7.0
2008,42061,0.0,0.0,8.0,0.0,8.0
2008,42063,0.0,5.0,3.0,0.0,8.0
2008,42065,12.0,38.0,0.0,0.0,50.0
2008,42067,0.0,0.0,6.0,0.0,6.0
2008,42069,0.0,10.0,2.0,0.0,12.0
2008,42071,28.0,38.0,0.0,0.0,66.0
2008,42075,20.0,43.0,0.0,0.0,63.0
2008,42077,29.0,112.0,0.0,0.0,141.0
2008,42079,0.0,14.0,2.0,0.0,16.0
2008,42081,15.0,9.0,4.0,0.0,28.0
2008,42083,0.0,13.0,5.0,0.0,18.0
2008,42087,0.0,7.0,1.0,0.0,8.0
2008,42089,24.0,88.0,0.0,0.0,112.0
2008,42091,166.0,347.0,0.0,0.0,513.0
2008,42093,0.0,10.0,1.0,0.0,11.0
2008,42095,19.0,80.0,3.0,0.0,102.0
2008,42097,0.0,0.0,12.0,0.0,12.0
2008,42099,8.0,24.0,3.0,0.0,35.0
2008,42101,46.0,105.0,0.0,6.0,157.0
2008,42103,21.0,23.0,0.0,0.0,44.0
2008,42105,0.0,0.0,5.0,0.0,5.0
2008,42107,6.0,21.0,1.0,0.0,28.0
2008,42109,0.0,0.0,5.0,0.0,5.0
2008,42115,0.0,0.0,6.0,0.0,6.0
2008,42119,0.0,5.0,1.0,0.0,6.0
2008,42127,7.0,20.0,2.0,0.0,29.0
2008,42131,0.0,5.0,4.0,0.0,9.0
2008,42133,40.0,136.0,0.0,0.0,176.0
2008,44003,0.0,0.0,15.0,0.0,15.0
2008,44005,0.0,0.0,15.0,0.0,15.0
2008,44007,0.0,21.0,6.0,0.0,27.0
2008,44009,32.0,74.0,4.0,0.0,110.0
2008,48085,0.0,9.0,0.0,0.0,9.0
2008,48121,0.0,15.0,3.0,0.0,18.0
2008,48157,0.0,5.0,1.0,0.0,6.0
2008,48201,0.0,10.0,2.0,0.0,12.0
2008,48215,0.0,0.0,7.0,0.0,7.0
2008,48339,0.0,8.0,0.0,0.0,8.0
2008,48355,0.0,0.0,5.0,0.0,5.0
2008,48367,0.0,0.0,5.0,0.0,5.0
2008,48439,0.0,18.0,1.0,0.0,19.0
2008,48453,0.0,0.0,8.0,0.0,8.0
2008,50001,0.0,23.0,4.0,0.0,27.0
2008,50003,23.0,101.0,0.0,0.0,124.0
2008,50005,0.0,0.0,5.0,0.0,5.0
2008,50007,0.0,34.0,6.0,0.0,40.0
2008,50017,0.0,0.0,10.0,0.0,10.0
2008,50021,10.0,48.0,3.0,0.0,61.0
2008,50023,0.0,0.0,5.0,0.0,5.0
2008,50025,13.0,62.0,0.0,0.0,75.0
2008,50027,10.0,29.0,0.0,0.0,39.0
2008,51001,0.0,13.0,4.0,0.0,17.0
2008,51003,0.0,11.0,5.0,0.0,16.0
2008,51013,0.0,25.0,8.0,0.0,33.0
2008,51015,0.0,0.0,9.0,0.0,9.0
2008,51041,0.0,15.0,1.0,0.0,16.0
2008,51043,0.0,5.0,9.0,0.0,14.0
2008,51047,0.0,0.0,6.0,0.0,6.0
2008,51059,50.0,137.0,3.0,0.0,190.0
2008,51061,0.0,30.0,8.0,0.0,38.0
2008,51069,28.0,22.0,0.0,0.0,50.0
2008,51099,0.0,0.0,6.0,0.0,6.0
2008,51103,0.0,5.0,0.0,0.0,5.0
2008,51107,71.0,159.0,0.0,0.0,230.0
2008,51121,5.0,14.0,4.0,0.0,23.0
2008,51131,0.0,5.0,3.0,0.0,8.0
2008,51137,0.0,0.0,5.0,0.0,5.0
2008,51153,21.0,45.0,2.0,0.0,68.0
2008,51165,0.0,0.0,7.0,0.0,7.0
2008,51171,0.0,15.0,1.0,0.0,16.0
2008,51177,0.0,0.0,10.0,0.0,10.0
2008,51179,0.0,0.0,5.0,0.0,5.0
2008,51187,13.0,35.0,0.0,0.0,48.0
2008,51510,0.0,0.0,7.0,0.0,7.0
2008,51540,0.0,0.0,5.0,0.0,5.0
2008,51550,0.0,0.0,7.0,0.0,7.0
2008,51700,0.0,0.0,5.0,0.0,5.0
2008,54003,22.0,49.0,0.0,0.0,71.0
2008,54037,7.0,24.0,2.0,0.0,33.0
2008,54065,0.0,7.0,7.0,0.0,14.0
2008,55001,0.0,19.0,7.0,0.0,26.0
2008,55003,0.0,18.0,4.0,0.0,22.0
2008,55005,26.0,50.0,0.0,0.0,76.0
2008,55007,0.0,17.0,4.0,0.0,21.0
2008,55011,0.0,10.0,2.0,0.0,12.0
2008,55013,0.0,47.0,5.0,0.0,52.0
2008,55015,0.0,0.0,6.0,0.0,6.0
2008,55017,14.0,30.0,0.0,0.0,44.0
2008,55019,13.0,29.0,0.0,0.0,42.0
2008,55021,9.0,27.0,1.0,0.0,37.0
2008,55023,0.0,7.0,6.0,0.0,13.0
2008,55025,24.0,56.0,0.0,0.0,80.0
2008,55027,0.0,0.0,7.0,0.0,7.0
2008,55031,19.0,44.0,0.0,0.0,63.0
2008,55033,19.0,28.0,0.0,0.0,47.0
2008,55035,34.0,62.0,0.0,0.0,96.0
2008,55049,0.0,8.0,5.0,0.0,13.0
2008,55051,0.0,8.0,0.0,0.0,8.0
2008,55053,0.0,12.0,5.0,0.0,17.0
2008,55055,0.0,9.0,2.0,0.0,11.0
2008,55057,0.0,15.0,5.0,0.0,20.0
2008,55063,5.0,31.0,4.0,0.0,40.0
2008,55067,0.0,0.0,5.0,0.0,5.0
2008,55069,9.0,47.0,4.0,0.0,60.0
2008,55073,49.0,83.0,0.0,0.0,132.0
2008,55075,0.0,10.0,4.0,0.0,14.0
2008,55077,0.0,10.0,3.0,0.0,13.0
2008,55079,0.0,15.0,3.0,0.0,18.0
2008,55081,13.0,48.0,5.0,0.0,66.0
2008,55085,22.0,53.0,0.0,0.0,75.0
2008,55087,0.0,0.0,12.0,0.0,12.0
2008,55093,0.0,5.0,0.0,0.0,5.0
2008,55095,17.0,48.0,0.0,0.0,65.0
2008,55097,33.0,80.0,0.0,0.0,113.0
2008,55099,10.0,33.0,4.0,0.0,47.0
2008,55101,0.0,0.0,6.0,0.0,6.0
2008,55103,6.0,30.0,2.0,0.0,38.0
2008,55105,0.0,0.0,5.0,0.0,5.0
2008,55107,7.0,28.0,4.0,0.0,39.0
2008,55109,12.0,38.0,3.0,0.0,53.0
